brand,lens_type,model,raw_category,focal_length_mm,magnification,working_distance_mm,aperture,max_sensor_format_mm,image_circle_mm,fov_mm,numerical_aperture,resolution_um,mtf30_lpmm,dof_mm,distortion_pct,telecentricity_deg,mount,weight_g,coaxial,wavelength_range,_source_url,_raw_target
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.0/24 mm TFL-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),24,,111,F/2 ... F/16,24,,,- | 0.24,,,,,,TFL-Mount,120,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-0-24mm-tfl,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.0/24 mm C-Mount lens with motorized iris,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),24,,111,F/2 ... F/16,24,,,- | 0.24,,,,,,C,164,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-0-24mm-c-motorized-iris,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.0/35 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),35,,168,F/2 ... F/22,24,,,- | 0.24,,,,,,C,160,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-0-35mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.0/35 mm C-Mount lens with motorized iris,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),35,,168,F/2 ... F/22,24,,,- | 0.24,,,,,,C,204,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-0-35mm-c-motorized-iris,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.0/35 mm TFL-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),35,,168,F/2 ... F/22,24,,,- | 0.24,,,,,,TFL-Mount,160,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-0-35mm-tfl,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.8/40 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),40,,103,F/2.8 ... F/22,24,,,- | 0.17,,,,,,C,103,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-8-40mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F4.0/45 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),45,,120,F/4 ... F/22,24,,,- | 0.12,,,,,,C,100,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f4-0-45mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.8/50 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),50,,131,F/2.8 ... F/32,24,,,- | 0.17,,,,,,C,111,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-8-50mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.8/50 mm C-Mount ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),50,,131,F/2.8 ... F/32,24,,,- | 0.17,,,,,,C,135,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-8-50mm-c-ruggedized,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.8/50 mm C-Mount lens with motorized iris,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),50,,131,F/2.8 ... F/32,24,,,- | 0.17,,,,,,C,179,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-8-50mm-c-motorized-iris,schneider_cmount
