brand	model_name	camera_type,sensor_name,_basler_vendor,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
Basler	a2A5320-52cc	area,IMX542,Sony,,,16.78,"1.1""",16.1,5320.0,3032.0,2.74,2.74,global,52.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,,,
Basler	a2A5328-35cm	area,IMX540,Sony,,,19.26,"1.2""",24.4,5328.0,4608.0,2.74,2.74,global,35.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,,,
Basler	a2A4504-42cc	area,IMX541,Sony,,,17.45,"1.1""",20.2,4504.0,4504.0,2.74,2.74,global,42.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,,,
Basler	a2A2448-120cm	area,IMX547,Sony,,,8.75,"1/1.8""",5.1,2448.0,2048.0,2.74,2.74,global,122.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,,,
Basler	a2A4504-42cm	area,IMX541,Sony,,,17.45,"1.1""",20.2,4504.0,4504.0,2.74,2.74,global,42.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,,,
Basler	a2A2448-120cc	area,IMX547,Sony,,,8.75,"1/1.8""",5.1,2448.0,2048.0,2.74,2.74,global,122.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,,,
Basler	a2A5320-52cm	area,IMX542,Sony,,,16.78,"1.1""",16.1,5320.0,3032.0,2.74,2.74,global,52.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,,,
Basler	a2A4096-67cm	area,IMX545,Sony,,,13.91,"1/1.1""",12.3,4096.0,3000.0,2.74,2.74,global,67.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,,,
Basler	a2A4096-67cc	area,IMX545,Sony,,,13.91,"1/1.1""",12.3,4096.0,3000.0,2.74,2.74,global,67.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,,,
Basler	a2A2840-86cc	area,IMX546,Sony,,,11.0,"2/3""",8.1,2840.0,2840.0,2.74,2.74,global,86.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,,,
Basler	a2A2448-210cm	area,IMX537,Sony,,,8.75,"1/1.8""",5.1,2448.0,2048.0,2.74,2.74,global,212.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,,,
Basler	a2A5328-35cc	area,IMX540,Sony,,,19.26,"1.2""",24.4,5328.0,4608.0,2.74,2.74,global,35.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,,,
Basler	a2A2048-110umSWIR	area,IMX993,Sony,,,8.86,"1/1.8""",3.1,2048.0,1536.0,3.45,3.45,global,110.0,,"Visible, SWIR",,,,C-mount,USB3,,,InGaAs,90,29,29,42.8
Basler	a2A2560-70umSWIR	area,IMX992,Sony,,,11.31,"1/1,4""",5.2,2560.0,2048.0,3.45,3.45,global,70.0,,"Visible, SWIR",,,,C-mount,USB3,,,InGaAs,90,29,29,42.8
Basler	a2A2048-35gmSWIR	area,IMX993,Sony,,,8.86,"1/1.8""",3.1,2048.0,1536.0,3.45,3.45,global,35.0,,"Visible, SWIR",,,,C-mount,GigE,,,InGaAs,100,29,29,55.5
Basler	a2A2560-20gmSWIR	area,IMX992,Sony,,,11.31,"1/1,4""",5.2,2560.0,2048.0,3.45,3.45,global,20.0,,"Visible, SWIR",,,,C-mount,GigE,,,InGaAs,100,29,29,55.5
Basler	a2A2840-48umUV	area,IMX487,Sony,,,11.0,"2/3""",8.1,2840.0,2840.0,2.74,2.74,global,48.0,,UV,,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	a2A2840-67g5mUV	area,IMX487,Sony,,,11.0,"2/3""",8.1,2840.0,2840.0,2.74,2.74,global,67.0,,UV,,,,C-mount,5GigE,,,CMOS,102,29,29,55.5
Basler	a2A2840-14gmUV	area,IMX487,Sony,,,11.0,"2/3""",8.1,2840.0,2840.0,2.74,2.74,global,14.0,,UV,,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A2440-98g5mBAS	area,IMX250,Sony,,,11.02,"2/3""",5.0,2448.0,2048.0,3.45,3.45,global,98.0,,Visible,,,,C-mount,5GigE,,,CMOS,102,29,29,55.5
Basler	a2A2440-98g5cBAS	area,IMX250,Sony,,,11.02,"2/3""",5.0,2448.0,2048.0,3.45,3.45,global,98.0,,Visible,,,,C-mount,5GigE,,,CMOS,102,29,29,55.5
Basler	boA9344-30cc	area,GMAX3265,Gpixel,,,37.36,"2.3""",65.0,9344.0,7000.0,3.2,3.2,global,30.0,,Visible,,,,,CoaXPress,,,CMOS,400,65,65,66.6
Basler	boA9344-30cm	area,GMAX3265,Gpixel,,,37.36,"2.3""",65.0,9344.0,7000.0,3.2,3.2,global,30.0,,Visible,,,,,CoaXPress,,,CMOS,400,65,65,66.6
Basler	acA1920-25uc	area,MT9P031,onsemi,,,4.84,"1/3.7""",2.0,1920.0,1080.0,2.2,2.2,rolling,26.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	daA2500-60mci (No-Mount)	area,AR0521,onsemi,,,7.13,"1/2.5""",5.0,2560.0,1920.0,2.2,2.2,rolling,60.0,,Visible,,,,No Mount,BCON for MIPI,,,CMOS,5,27,27,5.3
